location,direction,ts,value
Chodov,ul. Türkova,2018-01-06,59.0
Celetná,Ovocný trh,2018-01-06,70.0
Celetná,Prašná brána,2018-01-06,87.0
Dukelských hrdinů,centrum,2018-01-06,68.0
Dukelských hrdinů,z centra,2018-01-06,43.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-06,77.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-06,87.0
Hlubočepská,centrum,2018-01-06,199.0
Hlubočepská,Hlubočepy,2018-01-06,165.0
Jeremenkova,Pankrác,2018-01-06,48.0
Jeremenkova,Podolské nábřeží,2018-01-06,51.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-06,73.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-06,82.0
Letňany,z centra,2018-01-06,52.0
Letňany,centrum,2018-01-06,39.0
Radotín,Radotín,2018-01-06,109.0
Radotín,Zbraslav,2018-01-06,120.0
Nuselský most,centrum,2018-01-06,44.0
Nuselský most,ul. 5. května,2018-01-06,41.0
Střešovice,do centra,2018-01-06,10.0
Střešovice,z centra,2018-01-06,14.0
Pelléova,Jaselská,2018-01-06,20.0
Pelléova,Milady Horákové,2018-01-06,33.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-06,181.0
Podolské nábřeží - stezka,do centra (Výtoň),2018-01-06,238.0
Podolské nábřeží - vozovka,z centra (Braník),2018-01-06,140.0
Podolské nábřeží - vozovka,do centra (Výtoň),2018-01-06,61.0
Podbabská,ul. Roztocká,2018-01-06,54.0
Podbabská,ul. Jugoslávkých partyzánů,2018-01-06,81.0
Povltavská, ul. Vodácká,2018-01-06,301.0
Povltavská,ZOO,2018-01-06,346.0
Rohanské nábřeží,do centra (náb. L. Svobody),2018-01-06,
Rohanské nábřeží,z centra (Karlín),2018-01-06,
Šeberov,Kunratice,2018-01-06,56.0
Šeberov,Šeberov,2018-01-06,52.0
Lahovičky (Strakonická),do centra (M. Chuchle),2018-01-06,288.0
Lahovičky (Strakonická),z centra (Radotín),2018-01-06,404.0
Krč (Sulická),Lhotka,2018-01-06,147.0
Krč (Sulická),Krč,2018-01-06,168.0
Císařský ostrov,do centra (Stromovka),2018-01-06,138.0
Císařský ostrov,z centra (Trója),2018-01-06,170.0
Stezka okolo Rokytky,O2 Aréna,2018-01-06,122.0
Stezka okolo Rokytky,ul. U Elektry,2018-01-06,166.0
Drážní stezka - Vítkov,Hrdlořezy,2018-01-06,50.0
Drážní stezka - Vítkov,Seifertova,2018-01-06,41.0
Modřany,z centra,2018-01-06,657.0
Modřany,centrum,2018-01-06,661.0
Vršovická,Strašnice,2018-01-06,77.0
Vršovická,Nusle,2018-01-06,78.0
Košíře,centrum,2018-01-06,30.0
Barrandovský most,Barrandovský most,2018-01-07,99.0
Barrandovský most,Zlíchov,2018-01-07,132.0
Chodov,Chodov centrum,2018-01-07,41.0
Chodov,ul. Türkova,2018-01-07,26.0
Celetná,Ovocný trh,2018-01-07,57.0
Celetná,Prašná brána,2018-01-07,63.0
Dukelských hrdinů,centrum,2018-01-07,35.0
Dukelských hrdinů,z centra,2018-01-07,34.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2018-01-07,22.0
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2018-01-07,20.0
Hlubočepská,centrum,2018-01-07,74.0
Hlubočepská,Hlubočepy,2018-01-07,73.0
Jeremenkova,Pankrác,2018-01-07,59.0
Jeremenkova,Podolské nábřeží,2018-01-07,27.0
Nábřeží Kapitána Jaroše,Libeň,2018-01-07,33.0
Nábřeží Kapitána Jaroše,Malá Strana,2018-01-07,50.0
Letňany,z centra,2018-01-07,32.0
Letňany,centrum,2018-01-07,34.0
Radotín,Radotín,2018-01-07,35.0
Radotín,Zbraslav,2018-01-07,36.0
Nuselský most,centrum,2018-01-07,28.0
Nuselský most,ul. 5. května,2018-01-07,41.0
Střešovice,do centra,2018-01-07,10.0
Střešovice,z centra,2018-01-07,4.0
Pelléova,Jaselská,2018-01-07,7.0
Pelléova,Milady Horákové,2018-01-07,53.0
Podolské nábřeží - stezka,z centra (Braník),2018-01-07,83.0
