location,direction,ts,value
Dukelských hrdinů,centrum,2020-05-30,298.0
Dukelských hrdinů,z centra,2020-05-30,241.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2020-05-30,
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2020-05-30,
Hybernská,Na Příkopě,2020-05-30,224.0
Hybernská,Wilsonova,2020-05-30,184.0
Hlubočepská,centrum,2020-05-30,775.0
Hlubočepská,Hlubočepy,2020-05-30,713.0
Jeremenkova,Pankrác,2020-05-30,10.0
Jeremenkova,Podolské nábřeží,2020-05-30,18.0
Kampa,Karlův most,2020-05-30,210.0
Kampa,most Legií,2020-05-30,283.0
Nábřeží Kapitána Jaroše,Libeň,2020-05-30,369.0
Nábřeží Kapitána Jaroše,Malá Strana,2020-05-30,247.0
Letňany,z centra,2020-05-30,331.0
Letňany,centrum,2020-05-30,311.0
Radotín,Radotín,2020-05-30,82.0
Radotín,Zbraslav,2020-05-30,143.0
Mladoboleslavská,Prosek,2020-05-30,356.0
Mladoboleslavská,Vinoř,2020-05-30,270.0
Nuselský most,centrum,2020-05-30,105.0
Nuselský most,ul. 5. května,2020-05-30,102.0
Střešovice,do centra,2020-05-30,0.0
Střešovice,z centra,2020-05-30,0.0
Pelléova,Jaselská,2020-05-30,32.0
Pelléova,Milady Horákové,2020-05-30,47.0
Podolské nábřeží - stezka,z centra (Braník),2020-05-30,306.0
Podolské nábřeží - stezka,do centra (Výtoň),2020-05-30,539.0
Podolské nábřeží - vozovka,z centra (Braník),2020-05-30,77.0
Podolské nábřeží - vozovka,do centra (Výtoň),2020-05-30,147.0
Podbabská,ul. Roztocká,2020-05-30,739.0
Podbabská,ul. Jugoslávkých partyzánů,2020-05-30,639.0
Povltavská, ul. Vodácká,2020-05-30,2189.0
Povltavská,ZOO,2020-05-30,2230.0
Rohanské nábřeží,do centra (náb. L. Svobody),2020-05-30,841.0
Rohanské nábřeží,z centra (Karlín),2020-05-30,699.0
Šeberov,Kunratice,2020-05-30,0.0
Šeberov,Šeberov,2020-05-30,0.0
Smetanovo nábřeží,Karlův most,2020-05-30,138.0
Smetanovo nábřeží,Národní divadlo,2020-05-30,135.0
Lahovičky (Strakonická),do centra (M. Chuchle),2020-05-30,1085.0
Lahovičky (Strakonická),z centra (Radotín),2020-05-30,1437.0
Krč (Sulická),Lhotka,2020-05-30,667.0
Krč (Sulická),Krč,2020-05-30,644.0
Císařský ostrov,do centra (Stromovka),2020-05-30,362.0
Císařský ostrov,z centra (Trója),2020-05-30,429.0
Stezka okolo Rokytky,O2 Aréna,2020-05-30,655.0
Stezka okolo Rokytky,ul. U Elektry,2020-05-30,848.0
Drážní stezka - Vítkov,Hrdlořezy,2020-05-30,383.0
Drážní stezka - Vítkov,Seifertova,2020-05-30,331.0
Modřany,z centra,2020-05-30,1744.0
Modřany,centrum,2020-05-30,1564.0
Vršovická,Strašnice,2020-05-30,38.0
Vršovická,Nusle,2020-05-30,435.0
Košíře,centrum,2020-05-30,0.0
V Zámcích,Bohnice,2020-05-30,946.0
V Zámcích,Klecany,2020-05-30,1457.0
Praha - Podolí,Praha Cyklisté do centra,2020-05-30,1480.0
Praha - Podolí,Praha Cyklisté z centra,2020-05-30,1411.0
Anděl (Plzeňská),Plzeňská (z centra),2020-05-31,18.0
Anděl (Plzeňská),Štefánikova (centrum),2020-05-31,10.0
Atletická,Ladronka,2020-05-31,67.0
Atletická,Strahov,2020-05-31,45.0
Barrandovský most,Barrandovský most,2020-05-31,157.0
Barrandovský most,Zlíchov,2020-05-31,220.0
Chodov,Chodov centrum,2020-05-31,40.0
Chodov,ul. Türkova,2020-05-31,108.0
U Českých loděnic,Libeň,2020-05-31,294.0
U Českých loděnic,Povltavská,2020-05-31,346.0
Dukelských hrdinů,centrum,2020-05-31,101.0
Dukelských hrdinů,z centra,2020-05-31,104.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2020-05-31,
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2020-05-31,
Hybernská,Na Příkopě,2020-05-31,146.0
Hybernská,Wilsonova,2020-05-31,59.0
Hlubočepská,centrum,2020-05-31,183.0
Hlubočepská,Hlubočepy,2020-05-31,191.0
Jeremenkova,Pankrác,2020-05-31,3.0
Jeremenkova,Podolské nábřeží,2020-05-31,22.0
Kampa,Karlův most,2020-05-31,137.0
Kampa,most Legií,2020-05-31,107.0
Nábřeží Kapitána Jaroše,Libeň,2020-05-31,139.0
Nábřeží Kapitána Jaroše,Malá Strana,2020-05-31,111.0
Letňany,z centra,2020-05-31,95.0
Letňany,centrum,2020-05-31,80.0
Radotín,Radotín,2020-05-31,41.0
Radotín,Zbraslav,2020-05-31,89.0
Mladoboleslavská,Prosek,2020-05-31,120.0
Mladoboleslavská,Vinoř,2020-05-31,93.0
Nuselský most,centrum,2020-05-31,79.0
Nuselský most,ul. 5. května,2020-05-31,81.0
Střešovice,do centra,2020-05-31,0.0
Střešovice,z centra,2020-05-31,0.0
Pelléova,Jaselská,2020-05-31,13.0
Pelléova,Milady Horákové,2020-05-31,18.0
Podolské nábřeží - stezka,z centra (Braník),2020-05-31,105.0
Podolské nábřeží - stezka,do centra (Výtoň),2020-05-31,224.0
Podolské nábřeží - vozovka,z centra (Braník),2020-05-31,34.0
Podolské nábřeží - vozovka,do centra (Výtoň),2020-05-31,80.0
Podbabská,ul. Roztocká,2020-05-31,170.0
Podbabská,ul. Jugoslávkých partyzánů,2020-05-31,129.0
Povltavská, ul. Vodácká,2020-05-31,536.0
Povltavská,ZOO,2020-05-31,469.0
Rohanské nábřeží,do centra (náb. L. Svobody),2020-05-31,247.0
Rohanské nábřeží,z centra (Karlín),2020-05-31,222.0
Šeberov,Kunratice,2020-05-31,0.0
Šeberov,Šeberov,2020-05-31,0.0
Smetanovo nábřeží,Karlův most,2020-05-31,57.0
Smetanovo nábřeží,Národní divadlo,2020-05-31,37.0
Lahovičky (Strakonická),do centra (M. Chuchle),2020-05-31,228.0
Lahovičky (Strakonická),z centra (Radotín),2020-05-31,231.0
Krč (Sulická),Lhotka,2020-05-31,157.0
Krč (Sulická),Krč,2020-05-31,136.0
Císařský ostrov,do centra (Stromovka),2020-05-31,117.0
Císařský ostrov,z centra (Trója),2020-05-31,114.0
Stezka okolo Rokytky,O2 Aréna,2020-05-31,208.0
Stezka okolo Rokytky,ul. U Elektry,2020-05-31,262.0
Drážní stezka - Vítkov,Hrdlořezy,2020-05-31,224.0
Drážní stezka - Vítkov,Seifertova,2020-05-31,199.0
Modřany,z centra,2020-05-31,332.0
Modřany,centrum,2020-05-31,330.0
Vršovická,Strašnice,2020-05-31,32.0
Vršovická,Nusle,2020-05-31,239.0
Košíře,centrum,2020-05-31,0.0
V Zámcích,Bohnice,2020-05-31,308.0
V Zámcích,Klecany,2020-05-31,353.0
Praha - Podolí,Praha Cyklisté do centra,2020-05-31,431.0
Praha - Podolí,Praha Cyklisté z centra,2020-05-31,383.0
Anděl (Plzeňská),Plzeňská (z centra),2020-06-01,102.0
Anděl (Plzeňská),Štefánikova (centrum),2020-06-01,50.0
Atletická,Ladronka,2020-06-01,278.0
Atletická,Strahov,2020-06-01,185.0
Barrandovský most,Barrandovský most,2020-06-01,763.0
Barrandovský most,Zlíchov,2020-06-01,1087.0
Chodov,Chodov centrum,2020-06-01,733.0
Chodov,ul. Türkova,2020-06-01,2389.0
U Českých loděnic,Libeň,2020-06-01,1122.0
U Českých loděnic,Povltavská,2020-06-01,1363.0
Dukelských hrdinů,centrum,2020-06-01,441.0
Dukelských hrdinů,z centra,2020-06-01,398.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2020-06-01,
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2020-06-01,
Hybernská,Na Příkopě,2020-06-01,344.0
Hybernská,Wilsonova,2020-06-01,173.0
Hlubočepská,centrum,2020-06-01,785.0
Hlubočepská,Hlubočepy,2020-06-01,724.0
Jeremenkova,Pankrác,2020-06-01,15.0
Jeremenkova,Podolské nábřeží,2020-06-01,25.0
Kampa,Karlův most,2020-06-01,479.0
Kampa,most Legií,2020-06-01,502.0
Nábřeží Kapitána Jaroše,Libeň,2020-06-01,684.0
Nábřeží Kapitána Jaroše,Malá Strana,2020-06-01,468.0
Letňany,z centra,2020-06-01,365.0
Letňany,centrum,2020-06-01,323.0
Radotín,Radotín,2020-06-01,54.0
Radotín,Zbraslav,2020-06-01,92.0
Mladoboleslavská,Prosek,2020-06-01,349.0
Mladoboleslavská,Vinoř,2020-06-01,274.0
Nuselský most,centrum,2020-06-01,354.0
Nuselský most,ul. 5. května,2020-06-01,340.0
Střešovice,do centra,2020-06-01,0.0
Střešovice,z centra,2020-06-01,0.0
Pelléova,Jaselská,2020-06-01,92.0
Pelléova,Milady Horákové,2020-06-01,110.0
Podolské nábřeží - stezka,z centra (Braník),2020-06-01,569.0
Podolské nábřeží - stezka,do centra (Výtoň),2020-06-01,1210.0
Podolské nábřeží - vozovka,z centra (Braník),2020-06-01,129.0
Podolské nábřeží - vozovka,do centra (Výtoň),2020-06-01,240.0
Podbabská,ul. Roztocká,2020-06-01,694.0
Podbabská,ul. Jugoslávkých partyzánů,2020-06-01,548.0
Povltavská, ul. Vodácká,2020-06-01,1927.0
Povltavská,ZOO,2020-06-01,1886.0
Rohanské nábřeží,do centra (náb. L. Svobody),2020-06-01,1271.0
Rohanské nábřeží,z centra (Karlín),2020-06-01,1080.0
Šeberov,Kunratice,2020-06-01,0.0
Šeberov,Šeberov,2020-06-01,0.0
Smetanovo nábřeží,Karlův most,2020-06-01,238.0
Smetanovo nábřeží,Národní divadlo,2020-06-01,224.0
Lahovičky (Strakonická),do centra (M. Chuchle),2020-06-01,663.0
Lahovičky (Strakonická),z centra (Radotín),2020-06-01,938.0
Krč (Sulická),Lhotka,2020-06-01,703.0
Krč (Sulická),Krč,2020-06-01,629.0
Císařský ostrov,do centra (Stromovka),2020-06-01,342.0
Císařský ostrov,z centra (Trója),2020-06-01,350.0
Stezka okolo Rokytky,O2 Aréna,2020-06-01,838.0
Stezka okolo Rokytky,ul. U Elektry,2020-06-01,1037.0
Drážní stezka - Vítkov,Hrdlořezy,2020-06-01,603.0
Drážní stezka - Vítkov,Seifertova,2020-06-01,533.0
Modřany,z centra,2020-06-01,1413.0
Modřany,centrum,2020-06-01,1166.0
Vršovická,Strašnice,2020-06-01,84.0
Vršovická,Nusle,2020-06-01,663.0
Košíře,centrum,2020-06-01,0.0
V Zámcích,Bohnice,2020-06-01,842.0
V Zámcích,Klecany,2020-06-01,1160.0
Praha - Podolí,Praha Cyklisté do centra,2020-06-01,1739.0
Praha - Podolí,Praha Cyklisté z centra,2020-06-01,1649.0
Anděl (Plzeňská),Plzeňská (z centra),2020-06-02,114.0
Anděl (Plzeňská),Štefánikova (centrum),2020-06-02,40.0
Atletická,Ladronka,2020-06-02,272.0
Atletická,Strahov,2020-06-02,180.0
Barrandovský most,Barrandovský most,2020-06-02,819.0
Barrandovský most,Zlíchov,2020-06-02,995.0
Chodov,Chodov centrum,2020-06-02,213.0
Chodov,ul. Türkova,2020-06-02,387.0
U Českých loděnic,Libeň,2020-06-02,956.0
U Českých loděnic,Povltavská,2020-06-02,1208.0
Dukelských hrdinů,centrum,2020-06-02,453.0
Dukelských hrdinů,z centra,2020-06-02,359.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2020-06-02,
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2020-06-02,
Hybernská,Na Příkopě,2020-06-02,284.0
Hybernská,Wilsonova,2020-06-02,168.0
Hlubočepská,centrum,2020-06-02,800.0
Hlubočepská,Hlubočepy,2020-06-02,682.0
Jeremenkova,Pankrác,2020-06-02,10.0
Jeremenkova,Podolské nábřeží,2020-06-02,9.0
Kampa,Karlův most,2020-06-02,470.0
Kampa,most Legií,2020-06-02,503.0
Nábřeží Kapitána Jaroše,Libeň,2020-06-02,698.0
Nábřeží Kapitána Jaroše,Malá Strana,2020-06-02,450.0
Letňany,z centra,2020-06-02,264.0
Letňany,centrum,2020-06-02,269.0
Radotín,Radotín,2020-06-02,63.0
Radotín,Zbraslav,2020-06-02,149.0
Mladoboleslavská,Prosek,2020-06-02,310.0
Mladoboleslavská,Vinoř,2020-06-02,228.0
Nuselský most,centrum,2020-06-02,285.0
Nuselský most,ul. 5. května,2020-06-02,256.0
Střešovice,do centra,2020-06-02,0.0
Střešovice,z centra,2020-06-02,0.0
Pelléova,Jaselská,2020-06-02,70.0
Pelléova,Milady Horákové,2020-06-02,117.0
Podolské nábřeží - stezka,z centra (Braník),2020-06-02,595.0
Podolské nábřeží - stezka,do centra (Výtoň),2020-06-02,1220.0
Podolské nábřeží - vozovka,z centra (Braník),2020-06-02,141.0
Podolské nábřeží - vozovka,do centra (Výtoň),2020-06-02,241.0
Podbabská,ul. Roztocká,2020-06-02,609.0
Podbabská,ul. Jugoslávkých partyzánů,2020-06-02,464.0
Povltavská, ul. Vodácká,2020-06-02,1346.0
Povltavská,ZOO,2020-06-02,1286.0
Rohanské nábřeží,do centra (náb. L. Svobody),2020-06-02,1162.0
Rohanské nábřeží,z centra (Karlín),2020-06-02,1027.0
Šeberov,Kunratice,2020-06-02,0.0
Šeberov,Šeberov,2020-06-02,0.0
Smetanovo nábřeží,Karlův most,2020-06-02,168.0
Smetanovo nábřeží,Národní divadlo,2020-06-02,215.0
Lahovičky (Strakonická),do centra (M. Chuchle),2020-06-02,498.0
Lahovičky (Strakonická),z centra (Radotín),2020-06-02,761.0
Krč (Sulická),Lhotka,2020-06-02,707.0
Krč (Sulická),Krč,2020-06-02,657.0
Císařský ostrov,do centra (Stromovka),2020-06-02,294.0
Císařský ostrov,z centra (Trója),2020-06-02,310.0
Stezka okolo Rokytky,O2 Aréna,2020-06-02,608.0
Stezka okolo Rokytky,ul. U Elektry,2020-06-02,787.0
Drážní stezka - Vítkov,Hrdlořezy,2020-06-02,399.0
Drážní stezka - Vítkov,Seifertova,2020-06-02,395.0
Modřany,z centra,2020-06-02,972.0
Modřany,centrum,2020-06-02,833.0
Vršovická,Strašnice,2020-06-02,113.0
Vršovická,Nusle,2020-06-02,562.0
Košíře,centrum,2020-06-02,0.0
V Zámcích,Bohnice,2020-06-02,643.0
V Zámcích,Klecany,2020-06-02,771.0
Praha - Podolí,Praha Cyklisté do centra,2020-06-02,1667.0
Praha - Podolí,Praha Cyklisté z centra,2020-06-02,1475.0
Anděl (Plzeňská),Plzeňská (z centra),2020-06-03,78.0
Anděl (Plzeňská),Štefánikova (centrum),2020-06-03,35.0
Atletická,Ladronka,2020-06-03,270.0
Atletická,Strahov,2020-06-03,189.0
Barrandovský most,Barrandovský most,2020-06-03,681.0
Barrandovský most,Zlíchov,2020-06-03,878.0
Chodov,Chodov centrum,2020-06-03,111.0
Chodov,ul. Türkova,2020-06-03,199.0
U Českých loděnic,Libeň,2020-06-03,961.0
U Českých loděnic,Povltavská,2020-06-03,1281.0
Dukelských hrdinů,centrum,2020-06-03,418.0
Dukelských hrdinů,z centra,2020-06-03,313.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2020-06-03,
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2020-06-03,
Hybernská,Na Příkopě,2020-06-03,269.0
Hybernská,Wilsonova,2020-06-03,163.0
Hlubočepská,centrum,2020-06-03,696.0
Hlubočepská,Hlubočepy,2020-06-03,603.0
Jeremenkova,Pankrác,2020-06-03,5.0
Jeremenkova,Podolské nábřeží,2020-06-03,10.0
Kampa,Karlův most,2020-06-03,449.0
Kampa,most Legií,2020-06-03,523.0
Nábřeží Kapitána Jaroše,Libeň,2020-06-03,698.0
Nábřeží Kapitána Jaroše,Malá Strana,2020-06-03,437.0
Letňany,z centra,2020-06-03,340.0
Letňany,centrum,2020-06-03,325.0
Radotín,Radotín,2020-06-03,82.0
Radotín,Zbraslav,2020-06-03,133.0
Mladoboleslavská,Prosek,2020-06-03,308.0
Mladoboleslavská,Vinoř,2020-06-03,256.0
Nuselský most,centrum,2020-06-03,237.0
Nuselský most,ul. 5. května,2020-06-03,252.0
Střešovice,do centra,2020-06-03,0.0
Střešovice,z centra,2020-06-03,0.0
Pelléova,Jaselská,2020-06-03,72.0
Pelléova,Milady Horákové,2020-06-03,83.0
Podolské nábřeží - stezka,z centra (Braník),2020-06-03,700.0
Podolské nábřeží - stezka,do centra (Výtoň),2020-06-03,1105.0
Podolské nábřeží - vozovka,z centra (Braník),2020-06-03,136.0
Podolské nábřeží - vozovka,do centra (Výtoň),2020-06-03,234.0
Podbabská,ul. Roztocká,2020-06-03,554.0
Podbabská,ul. Jugoslávkých partyzánů,2020-06-03,429.0
Povltavská, ul. Vodácká,2020-06-03,1277.0
Povltavská,ZOO,2020-06-03,1419.0
Rohanské nábřeží,do centra (náb. L. Svobody),2020-06-03,1155.0
Rohanské nábřeží,z centra (Karlín),2020-06-03,995.0
Šeberov,Kunratice,2020-06-03,0.0
Šeberov,Šeberov,2020-06-03,0.0
Smetanovo nábřeží,Karlův most,2020-06-03,181.0
Smetanovo nábřeží,Národní divadlo,2020-06-03,246.0
Lahovičky (Strakonická),do centra (M. Chuchle),2020-06-03,459.0
Lahovičky (Strakonická),z centra (Radotín),2020-06-03,712.0
Krč (Sulická),Lhotka,2020-06-03,718.0
Krč (Sulická),Krč,2020-06-03,592.0
Císařský ostrov,do centra (Stromovka),2020-06-03,292.0
Císařský ostrov,z centra (Trója),2020-06-03,263.0
Stezka okolo Rokytky,O2 Aréna,2020-06-03,709.0
Stezka okolo Rokytky,ul. U Elektry,2020-06-03,911.0
Drážní stezka - Vítkov,Hrdlořezy,2020-06-03,469.0
Drážní stezka - Vítkov,Seifertova,2020-06-03,484.0
Modřany,z centra,2020-06-03,951.0
Modřany,centrum,2020-06-03,796.0
Vršovická,Strašnice,2020-06-03,119.0
Vršovická,Nusle,2020-06-03,570.0
Košíře,centrum,2020-06-03,0.0
V Zámcích,Bohnice,2020-06-03,790.0
V Zámcích,Klecany,2020-06-03,866.0
Praha - Podolí,Praha Cyklisté do centra,2020-06-03,1516.0
Praha - Podolí,Praha Cyklisté z centra,2020-06-03,1452.0
Anděl (Plzeňská),Plzeňská (z centra),2020-06-04,73.0
Anděl (Plzeňská),Štefánikova (centrum),2020-06-04,53.0
Atletická,Ladronka,2020-06-04,267.0
Atletická,Strahov,2020-06-04,187.0
Barrandovský most,Barrandovský most,2020-06-04,453.0
Barrandovský most,Zlíchov,2020-06-04,571.0
Chodov,Chodov centrum,2020-06-04,1153.0
Chodov,ul. Türkova,2020-06-04,3855.0
U Českých loděnic,Libeň,2020-06-04,603.0
U Českých loděnic,Povltavská,2020-06-04,798.0
Dukelských hrdinů,centrum,2020-06-04,295.0
Dukelských hrdinů,z centra,2020-06-04,246.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2020-06-04,
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2020-06-04,
Hybernská,Na Příkopě,2020-06-04,211.0
Hybernská,Wilsonova,2020-06-04,127.0
Hlubočepská,centrum,2020-06-04,446.0
Hlubočepská,Hlubočepy,2020-06-04,395.0
Jeremenkova,Pankrác,2020-06-04,11.0
Jeremenkova,Podolské nábřeží,2020-06-04,26.0
Kampa,Karlův most,2020-06-04,355.0
Kampa,most Legií,2020-06-04,353.0
Nábřeží Kapitána Jaroše,Libeň,2020-06-04,513.0
Nábřeží Kapitána Jaroše,Malá Strana,2020-06-04,312.0
Letňany,z centra,2020-06-04,208.0
Letňany,centrum,2020-06-04,169.0
Radotín,Radotín,2020-06-04,52.0
Radotín,Zbraslav,2020-06-04,135.0
Mladoboleslavská,Prosek,2020-06-04,233.0
Mladoboleslavská,Vinoř,2020-06-04,185.0
Nuselský most,centrum,2020-06-04,247.0
Nuselský most,ul. 5. května,2020-06-04,223.0
Střešovice,do centra,2020-06-04,0.0
Střešovice,z centra,2020-06-04,0.0
Pelléova,Jaselská,2020-06-04,51.0
Pelléova,Milady Horákové,2020-06-04,75.0
Podolské nábřeží - stezka,z centra (Braník),2020-06-04,483.0
Podolské nábřeží - stezka,do centra (Výtoň),2020-06-04,856.0
Podolské nábřeží - vozovka,z centra (Braník),2020-06-04,114.0
Podolské nábřeží - vozovka,do centra (Výtoň),2020-06-04,152.0
Podbabská,ul. Roztocká,2020-06-04,352.0
Podbabská,ul. Jugoslávkých partyzánů,2020-06-04,253.0
Povltavská, ul. Vodácká,2020-06-04,742.0
Povltavská,ZOO,2020-06-04,704.0
Rohanské nábřeží,do centra (náb. L. Svobody),2020-06-04,808.0
Rohanské nábřeží,z centra (Karlín),2020-06-04,738.0
Šeberov,Kunratice,2020-06-04,0.0
Šeberov,Šeberov,2020-06-04,0.0
Smetanovo nábřeží,Karlův most,2020-06-04,189.0
Smetanovo nábřeží,Národní divadlo,2020-06-04,160.0
Lahovičky (Strakonická),do centra (M. Chuchle),2020-06-04,272.0
Lahovičky (Strakonická),z centra (Radotín),2020-06-04,395.0
Krč (Sulická),Lhotka,2020-06-04,435.0
Krč (Sulická),Krč,2020-06-04,378.0
Císařský ostrov,do centra (Stromovka),2020-06-04,224.0
Císařský ostrov,z centra (Trója),2020-06-04,243.0
Stezka okolo Rokytky,O2 Aréna,2020-06-04,419.0
Stezka okolo Rokytky,ul. U Elektry,2020-06-04,507.0
Drážní stezka - Vítkov,Hrdlořezy,2020-06-04,341.0
Drážní stezka - Vítkov,Seifertova,2020-06-04,339.0
Modřany,z centra,2020-06-04,578.0
Modřany,centrum,2020-06-04,472.0
Vršovická,Strašnice,2020-06-04,68.0
Vršovická,Nusle,2020-06-04,458.0
Košíře,centrum,2020-06-04,0.0
V Zámcích,Bohnice,2020-06-04,397.0
V Zámcích,Klecany,2020-06-04,413.0
Praha - Podolí,Praha Cyklisté do centra,2020-06-04,992.0
Praha - Podolí,Praha Cyklisté z centra,2020-06-04,922.0
Anděl (Plzeňská),Plzeňská (z centra),2020-06-05,77.0
Anděl (Plzeňská),Štefánikova (centrum),2020-06-05,56.0
Atletická,Ladronka,2020-06-05,240.0
Atletická,Strahov,2020-06-05,158.0
Barrandovský most,Barrandovský most,2020-06-05,292.0
Barrandovský most,Zlíchov,2020-06-05,447.0
Chodov,Chodov centrum,2020-06-05,172.0
Chodov,ul. Türkova,2020-06-05,1769.0
U Českých loděnic,Libeň,2020-06-05,413.0
U Českých loděnic,Povltavská,2020-06-05,496.0
Dukelských hrdinů,centrum,2020-06-05,248.0
Dukelských hrdinů,z centra,2020-06-05,204.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2020-06-05,
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2020-06-05,
Hybernská,Na Příkopě,2020-06-05,171.0
Hybernská,Wilsonova,2020-06-05,118.0
Hlubočepská,centrum,2020-06-05,304.0
Hlubočepská,Hlubočepy,2020-06-05,280.0
Jeremenkova,Pankrác,2020-06-05,2.0
Jeremenkova,Podolské nábřeží,2020-06-05,25.0
Kampa,Karlův most,2020-06-05,284.0
Kampa,most Legií,2020-06-05,288.0
Nábřeží Kapitána Jaroše,Libeň,2020-06-05,330.0
Nábřeží Kapitána Jaroše,Malá Strana,2020-06-05,235.0
Letňany,z centra,2020-06-05,149.0
Letňany,centrum,2020-06-05,107.0
Radotín,Radotín,2020-06-05,43.0
Radotín,Zbraslav,2020-06-05,96.0
Mladoboleslavská,Prosek,2020-06-05,133.0
Mladoboleslavská,Vinoř,2020-06-05,116.0
Nuselský most,centrum,2020-06-05,215.0
Nuselský most,ul. 5. května,2020-06-05,169.0
Střešovice,do centra,2020-06-05,0.0
Střešovice,z centra,2020-06-05,0.0
Pelléova,Jaselská,2020-06-05,31.0
Pelléova,Milady Horákové,2020-06-05,54.0
Podolské nábřeží - stezka,z centra (Braník),2020-06-05,338.0
Podolské nábřeží - stezka,do centra (Výtoň),2020-06-05,595.0
Podolské nábřeží - vozovka,z centra (Braník),2020-06-05,86.0
Podolské nábřeží - vozovka,do centra (Výtoň),2020-06-05,127.0
Podbabská,ul. Roztocká,2020-06-05,222.0
Podbabská,ul. Jugoslávkých partyzánů,2020-06-05,200.0
Povltavská, ul. Vodácká,2020-06-05,545.0
Povltavská,ZOO,2020-06-05,588.0
Rohanské nábřeží,do centra (náb. L. Svobody),2020-06-05,583.0
Rohanské nábřeží,z centra (Karlín),2020-06-05,517.0
Šeberov,Kunratice,2020-06-05,0.0
Šeberov,Šeberov,2020-06-05,0.0
Smetanovo nábřeží,Karlův most,2020-06-05,153.0
Smetanovo nábřeží,Národní divadlo,2020-06-05,131.0
Lahovičky (Strakonická),do centra (M. Chuchle),2020-06-05,209.0
Lahovičky (Strakonická),z centra (Radotín),2020-06-05,396.0
Krč (Sulická),Lhotka,2020-06-05,297.0
Krč (Sulická),Krč,2020-06-05,276.0
Císařský ostrov,do centra (Stromovka),2020-06-05,125.0
Císařský ostrov,z centra (Trója),2020-06-05,124.0
Stezka okolo Rokytky,O2 Aréna,2020-06-05,305.0
Stezka okolo Rokytky,ul. U Elektry,2020-06-05,392.0
Drážní stezka - Vítkov,Hrdlořezy,2020-06-05,239.0
Drážní stezka - Vítkov,Seifertova,2020-06-05,247.0
Modřany,z centra,2020-06-05,450.0
Modřany,centrum,2020-06-05,337.0
Vršovická,Strašnice,2020-06-05,56.0
Vršovická,Nusle,2020-06-05,357.0
Košíře,centrum,2020-06-05,0.0
V Zámcích,Bohnice,2020-06-05,325.0
V Zámcích,Klecany,2020-06-05,348.0
Praha - Podolí,Praha Cyklisté do centra,2020-06-05,704.0
Praha - Podolí,Praha Cyklisté z centra,2020-06-05,692.0
Anděl (Plzeňská),Plzeňská (z centra),2020-06-06,40.0
Anděl (Plzeňská),Štefánikova (centrum),2020-06-06,18.0
Atletická,Ladronka,2020-06-06,71.0
Atletická,Strahov,2020-06-06,38.0
Barrandovský most,Barrandovský most,2020-06-06,422.0
Barrandovský most,Zlíchov,2020-06-06,620.0
Chodov,Chodov centrum,2020-06-06,225.0
Chodov,ul. Türkova,2020-06-06,1117.0
U Českých loděnic,Libeň,2020-06-06,555.0
U Českých loděnic,Povltavská,2020-06-06,666.0
Dukelských hrdinů,centrum,2020-06-06,194.0
Dukelských hrdinů,z centra,2020-06-06,108.0
Elsnicovo náměstí x U Českých loděnic,k Thomayerovým sadům,2020-06-06,
Elsnicovo náměstí x U Českých loděnic,od Thomayerových sadů,2020-06-06,
Hybernská,Na Příkopě,2020-06-06,121.0
Hybernská,Wilsonova,2020-06-06,98.0
Hlubočepská,centrum,2020-06-06,444.0
Hlubočepská,Hlubočepy,2020-06-06,432.0
Jeremenkova,Pankrác,2020-06-06,1.0
Jeremenkova,Podolské nábřeží,2020-06-06,14.0
Kampa,Karlův most,2020-06-06,145.0
Kampa,most Legií,2020-06-06,165.0
Nábřeží Kapitána Jaroše,Libeň,2020-06-06,219.0
Nábřeží Kapitána Jaroše,Malá Strana,2020-06-06,124.0
Letňany,z centra,2020-06-06,183.0
Letňany,centrum,2020-06-06,189.0
Radotín,Radotín,2020-06-06,76.0
Radotín,Zbraslav,2020-06-06,168.0
Mladoboleslavská,Prosek,2020-06-06,184.0
Mladoboleslavská,Vinoř,2020-06-06,176.0
Nuselský most,centrum,2020-06-06,86.0
Nuselský most,ul. 5. května,2020-06-06,119.0
Střešovice,do centra,2020-06-06,0.0
Střešovice,z centra,2020-06-06,0.0
Pelléova,Jaselská,2020-06-06,22.0
Pelléova,Milady Horákové,2020-06-06,28.0
Podolské nábřeží - stezka,z centra (Braník),2020-06-06,193.0
Podolské nábřeží - stezka,do centra (Výtoň),2020-06-06,376.0
Podolské nábřeží - vozovka,z centra (Braník),2020-06-06,57.0
